Episodes : 500, Max Timesteps : 1500, Evaluation Interval: 50. Evaluation Epsiodes : 15
Gamma : 0.99, Epsilon : 0.2, Learning Rate : 0.0001, Lambda : 0.98, Epoch : 15, Batch size : 32
Epsiode : 0, Reward : -46.21, epsiode Length : 1500, Actor Loss : -4.13, Critic Loss : 8.00
Epsiode : 1, Reward : -45.96, epsiode Length : 1500, Actor Loss : -4.75, Critic Loss : 5.85
Epsiode : 2, Reward : -51.60, epsiode Length : 1500, Actor Loss : 2.70, Critic Loss : 7.08
Epsiode : 3, Reward : -34.97, epsiode Length : 1046, Actor Loss : -1.44, Critic Loss : 2.21
Epsiode : 4, Reward : -51.45, epsiode Length : 1500, Actor Loss : -0.56, Critic Loss : 1.43
Epsiode : 5, Reward : -51.54, epsiode Length : 1500, Actor Loss : -1.20, Critic Loss : 1.18
Epsiode : 6, Reward : -53.05, epsiode Length : 1500, Actor Loss : -2.44, Critic Loss : 5.59
Epsiode : 7, Reward : -53.68, epsiode Length : 1500, Actor Loss : -1.42, Critic Loss : 2.34
Epsiode : 8, Reward : -52.29, epsiode Length : 1500, Actor Loss : -2.08, Critic Loss : 4.33
Epsiode : 9, Reward : -54.20, epsiode Length : 1500, Actor Loss : -1.63, Critic Loss : 2.86
Epsiode : 10, Reward : -55.23, epsiode Length : 1500, Actor Loss : -1.32, Critic Loss : 1.89
Epsiode : 11, Reward : -51.59, epsiode Length : 1500, Actor Loss : -0.86, Critic Loss : 0.79
Epsiode : 12, Reward : -55.78, epsiode Length : 1500, Actor Loss : 3.98, Critic Loss : 16.24
Epsiode : 13, Reward : -76.94, epsiode Length : 1500, Actor Loss : 6.11, Critic Loss : 39.22
Epsiode : 14, Reward : -76.13, epsiode Length : 1500, Actor Loss : 6.06, Critic Loss : 38.91
Epsiode : 15, Reward : -76.79, epsiode Length : 1500, Actor Loss : 6.00, Critic Loss : 39.04
Epsiode : 16, Reward : -76.19, epsiode Length : 1500, Actor Loss : 6.08, Critic Loss : 39.26
Epsiode : 17, Reward : -79.29, epsiode Length : 1500, Actor Loss : 6.06, Critic Loss : 39.88
Epsiode : 18, Reward : -77.81, epsiode Length : 1500, Actor Loss : 5.91, Critic Loss : 37.91
Epsiode : 19, Reward : -76.10, epsiode Length : 1500, Actor Loss : 5.97, Critic Loss : 38.65
Epsiode : 20, Reward : -75.96, epsiode Length : 1500, Actor Loss : 6.24, Critic Loss : 41.42
Epsiode : 21, Reward : -76.74, epsiode Length : 1500, Actor Loss : 5.96, Critic Loss : 37.47
Epsiode : 22, Reward : -75.93, epsiode Length : 1500, Actor Loss : 6.19, Critic Loss : 40.58
Epsiode : 23, Reward : -76.79, epsiode Length : 1500, Actor Loss : 6.15, Critic Loss : 40.32
Epsiode : 24, Reward : -77.20, epsiode Length : 1500, Actor Loss : 6.10, Critic Loss : 39.56
Epsiode : 25, Reward : -75.65, epsiode Length : 1500, Actor Loss : 5.99, Critic Loss : 38.41
Epsiode : 26, Reward : -76.56, epsiode Length : 1500, Actor Loss : 6.00, Critic Loss : 38.64
Epsiode : 27, Reward : -78.31, epsiode Length : 1500, Actor Loss : 6.03, Critic Loss : 38.21
Epsiode : 28, Reward : -77.02, epsiode Length : 1500, Actor Loss : 6.23, Critic Loss : 41.47
Epsiode : 29, Reward : -78.26, epsiode Length : 1500, Actor Loss : 6.16, Critic Loss : 40.23
Epsiode : 30, Reward : -75.86, epsiode Length : 1500, Actor Loss : 6.20, Critic Loss : 40.68
Epsiode : 31, Reward : -75.41, epsiode Length : 1500, Actor Loss : 5.98, Critic Loss : 38.38
Epsiode : 32, Reward : -75.77, epsiode Length : 1500, Actor Loss : 6.05, Critic Loss : 38.94
Epsiode : 33, Reward : -75.41, epsiode Length : 1500, Actor Loss : 6.19, Critic Loss : 41.57
Epsiode : 34, Reward : -75.54, epsiode Length : 1500, Actor Loss : 6.17, Critic Loss : 40.89
Epsiode : 35, Reward : -79.46, epsiode Length : 1500, Actor Loss : 6.06, Critic Loss : 39.48
Epsiode : 36, Reward : -77.03, epsiode Length : 1500, Actor Loss : 6.01, Critic Loss : 39.04
Epsiode : 37, Reward : -74.55, epsiode Length : 1500, Actor Loss : 6.33, Critic Loss : 42.91
Epsiode : 38, Reward : -77.61, epsiode Length : 1500, Actor Loss : 6.14, Critic Loss : 40.34
Epsiode : 39, Reward : -76.25, epsiode Length : 1500, Actor Loss : 6.24, Critic Loss : 41.22
Epsiode : 40, Reward : -74.94, epsiode Length : 1500, Actor Loss : 6.05, Critic Loss : 38.67
Epsiode : 41, Reward : -76.82, epsiode Length : 1500, Actor Loss : 6.03, Critic Loss : 38.61
Epsiode : 42, Reward : -76.12, epsiode Length : 1500, Actor Loss : 6.16, Critic Loss : 40.22
Epsiode : 43, Reward : -78.52, epsiode Length : 1500, Actor Loss : 6.04, Critic Loss : 39.05
Epsiode : 44, Reward : -78.77, epsiode Length : 1500, Actor Loss : 6.07, Critic Loss : 39.93
Epsiode : 45, Reward : -75.98, epsiode Length : 1500, Actor Loss : 5.99, Critic Loss : 38.17
Epsiode : 46, Reward : -76.77, epsiode Length : 1500, Actor Loss : 5.94, Critic Loss : 38.07
Epsiode : 47, Reward : -77.14, epsiode Length : 1500, Actor Loss : 6.03, Critic Loss : 38.85
Epsiode : 48, Reward : -76.24, epsiode Length : 1500, Actor Loss : 6.00, Critic Loss : 38.12
Epsiode : 49, Reward : -79.86, epsiode Length : 1500, Actor Loss : 6.04, Critic Loss : 39.03
Evaluation after 50 episodes: Mean reward: -76.73 ± 1.36, Mean length: 1500.00
Epsiode : 50, Reward : -78.12, epsiode Length : 1500, Actor Loss : 6.25, Critic Loss : 42.03
Epsiode : 51, Reward : -76.96, epsiode Length : 1500, Actor Loss : 6.15, Critic Loss : 40.51
Epsiode : 52, Reward : -78.06, epsiode Length : 1500, Actor Loss : 5.96, Critic Loss : 37.74
Epsiode : 53, Reward : -75.12, epsiode Length : 1500, Actor Loss : 6.05, Critic Loss : 38.06
