Episodes : 500, Max Timesteps : 1500, Evaluation Interval: 50. Evaluation Epsiodes : 15
Gamma : 0.99, Epsilon : 0.2, Learning Rate : 0.0003, Lambda : 0.98, Epoch : 15, Batch size : 32
Epsiode : 0, Reward : -47.79, epsiode Length : 1500, Actor Loss : -0.29, Critic Loss : 12.29
Epsiode : 1, Reward : -46.55, epsiode Length : 1500, Actor Loss : -4.92, Critic Loss : 21.69
Epsiode : 2, Reward : -49.28, epsiode Length : 1500, Actor Loss : -3.63, Critic Loss : 23.52
Epsiode : 3, Reward : -49.48, epsiode Length : 1500, Actor Loss : 2.18, Critic Loss : 0.09
Epsiode : 4, Reward : -52.88, epsiode Length : 1500, Actor Loss : -3.69, Critic Loss : 28.19
Epsiode : 5, Reward : -53.64, epsiode Length : 1500, Actor Loss : -6.13, Critic Loss : 23.16
Epsiode : 6, Reward : -54.14, epsiode Length : 1500, Actor Loss : -3.47, Critic Loss : 20.30
Epsiode : 7, Reward : -25.78, epsiode Length : 758, Actor Loss : -3.52, Critic Loss : 13.89
Epsiode : 8, Reward : -51.53, epsiode Length : 1500, Actor Loss : -3.64, Critic Loss : 19.69
Epsiode : 9, Reward : -52.37, epsiode Length : 1500, Actor Loss : -4.91, Critic Loss : 26.20
Epsiode : 10, Reward : -53.88, epsiode Length : 1500, Actor Loss : -4.46, Critic Loss : 21.52
Epsiode : 11, Reward : -52.25, epsiode Length : 1500, Actor Loss : -4.25, Critic Loss : 19.53
Epsiode : 12, Reward : -53.34, epsiode Length : 1500, Actor Loss : -3.49, Critic Loss : 14.23
Epsiode : 13, Reward : -52.82, epsiode Length : 1500, Actor Loss : -4.51, Critic Loss : 21.68
Epsiode : 14, Reward : -51.58, epsiode Length : 1500, Actor Loss : -3.84, Critic Loss : 15.20
Epsiode : 15, Reward : -55.68, epsiode Length : 1500, Actor Loss : -4.77, Critic Loss : 23.95
Epsiode : 16, Reward : -52.47, epsiode Length : 1500, Actor Loss : -4.92, Critic Loss : 24.51
Epsiode : 17, Reward : -54.86, epsiode Length : 1500, Actor Loss : -4.78, Critic Loss : 25.25
Epsiode : 18, Reward : -54.30, epsiode Length : 1500, Actor Loss : -4.54, Critic Loss : 22.27
Epsiode : 19, Reward : -54.06, epsiode Length : 1500, Actor Loss : -4.86, Critic Loss : 25.48
Epsiode : 20, Reward : -54.46, epsiode Length : 1500, Actor Loss : -4.71, Critic Loss : 23.98
Epsiode : 21, Reward : -54.16, epsiode Length : 1500, Actor Loss : -4.86, Critic Loss : 24.48
Epsiode : 22, Reward : -54.35, epsiode Length : 1500, Actor Loss : -4.83, Critic Loss : 23.76
Epsiode : 23, Reward : -52.21, epsiode Length : 1500, Actor Loss : -4.41, Critic Loss : 20.19
Epsiode : 24, Reward : -53.19, epsiode Length : 1500, Actor Loss : -4.66, Critic Loss : 22.76
Epsiode : 25, Reward : -53.15, epsiode Length : 1500, Actor Loss : -4.46, Critic Loss : 21.11
Epsiode : 26, Reward : -52.20, epsiode Length : 1500, Actor Loss : -3.97, Critic Loss : 18.72
Epsiode : 27, Reward : -54.85, epsiode Length : 1500, Actor Loss : -5.13, Critic Loss : 27.38
Epsiode : 28, Reward : -55.72, epsiode Length : 1500, Actor Loss : -4.57, Critic Loss : 21.91
Epsiode : 29, Reward : -55.35, epsiode Length : 1500, Actor Loss : -4.46, Critic Loss : 22.02
Epsiode : 30, Reward : -55.64, epsiode Length : 1500, Actor Loss : -4.24, Critic Loss : 19.08
Epsiode : 31, Reward : -52.47, epsiode Length : 1500, Actor Loss : -4.53, Critic Loss : 22.80
Epsiode : 32, Reward : -56.12, epsiode Length : 1500, Actor Loss : -4.58, Critic Loss : 22.23
Epsiode : 33, Reward : -53.27, epsiode Length : 1500, Actor Loss : -4.30, Critic Loss : 19.88
Epsiode : 34, Reward : -55.15, epsiode Length : 1500, Actor Loss : -4.53, Critic Loss : 21.53
Epsiode : 35, Reward : -56.11, epsiode Length : 1500, Actor Loss : -4.64, Critic Loss : 22.78
Epsiode : 36, Reward : -53.38, epsiode Length : 1500, Actor Loss : -4.41, Critic Loss : 20.98
Epsiode : 37, Reward : -51.99, epsiode Length : 1500, Actor Loss : -4.32, Critic Loss : 19.88
Epsiode : 38, Reward : -52.37, epsiode Length : 1500, Actor Loss : -4.53, Critic Loss : 21.15
Epsiode : 39, Reward : -51.25, epsiode Length : 1500, Actor Loss : -4.37, Critic Loss : 20.02
Epsiode : 40, Reward : -54.96, epsiode Length : 1500, Actor Loss : -4.69, Critic Loss : 22.50
Epsiode : 41, Reward : -54.36, epsiode Length : 1500, Actor Loss : -4.75, Critic Loss : 22.91
Epsiode : 42, Reward : -52.89, epsiode Length : 1500, Actor Loss : -3.76, Critic Loss : 17.47
Epsiode : 43, Reward : -55.00, epsiode Length : 1500, Actor Loss : -4.53, Critic Loss : 22.11
Epsiode : 44, Reward : -54.30, epsiode Length : 1500, Actor Loss : -4.83, Critic Loss : 24.61
Epsiode : 45, Reward : -52.96, epsiode Length : 1500, Actor Loss : -4.54, Critic Loss : 21.11
Epsiode : 46, Reward : -26.42, epsiode Length : 787, Actor Loss : -3.81, Critic Loss : 14.89
Epsiode : 47, Reward : -53.93, epsiode Length : 1500, Actor Loss : -4.68, Critic Loss : 22.24
Epsiode : 48, Reward : -54.03, epsiode Length : 1500, Actor Loss : -4.23, Critic Loss : 19.81
