Episodes : 500, Max Timesteps : 1500, Evaluation Interval: 50. Evaluation Epsiodes : 15
weights for rewards -- w1 : 0.3, w2 : 0.4, w3 : 0.1, w4 : 0.05, w5 : 0.05, w6 : 0.05
Actor Network -- Dimension of each Layer -- Layer 1 :256, Layer 2 : 128, Layer 3 : 128, Layer 4 : 64, Output Layer : 7
Critick Network -- Dimension of each layer -- Layer 1 : 256, Layer 2 : 128, Output Layer : 1
Gamma : 0.99, Epsilon : 0.2, Learning Rate : 0.0003, Lambda : 0.95, Epoch : 10, Batch size : 32
Epsiode : 0, Reward : -315.13, epsiode Length : 1500, Actor Loss : 1.02, Critic Loss : 0.42
Epsiode : 1, Reward : -313.68, epsiode Length : 1500, Actor Loss : 0.21, Critic Loss : 0.42
Epsiode : 2, Reward : -342.26, epsiode Length : 1500, Actor Loss : 0.80, Critic Loss : 1.02
Epsiode : 3, Reward : -406.39, epsiode Length : 1500, Actor Loss : -0.20, Critic Loss : 0.81
Epsiode : 4, Reward : -443.59, epsiode Length : 1500, Actor Loss : 0.02, Critic Loss : 0.27
Epsiode : 5, Reward : -447.39, epsiode Length : 1500, Actor Loss : 0.14, Critic Loss : 0.40
Epsiode : 6, Reward : -444.75, epsiode Length : 1500, Actor Loss : 0.57, Critic Loss : 1.01
Epsiode : 7, Reward : -442.60, epsiode Length : 1500, Actor Loss : 0.14, Critic Loss : 0.66
Epsiode : 8, Reward : -438.07, epsiode Length : 1500, Actor Loss : 0.36, Critic Loss : 0.47
Epsiode : 9, Reward : -458.94, epsiode Length : 1500, Actor Loss : 0.15, Critic Loss : 0.38
Epsiode : 10, Reward : -457.02, epsiode Length : 1500, Actor Loss : -0.23, Critic Loss : 0.55
Epsiode : 11, Reward : -445.57, epsiode Length : 1500, Actor Loss : -0.33, Critic Loss : 1.87
Epsiode : 12, Reward : -452.53, epsiode Length : 1500, Actor Loss : 0.99, Critic Loss : 0.83
Epsiode : 13, Reward : -441.29, epsiode Length : 1500, Actor Loss : 0.56, Critic Loss : 0.56
Epsiode : 14, Reward : -445.25, epsiode Length : 1500, Actor Loss : -0.14, Critic Loss : 0.48
Epsiode : 15, Reward : -440.04, epsiode Length : 1500, Actor Loss : 0.17, Critic Loss : 0.45
Epsiode : 16, Reward : -445.73, epsiode Length : 1500, Actor Loss : 0.19, Critic Loss : 0.23
